fice,fice_combined,year,hbcu_flag,has_med_sch_flag,hhe_flag,toi_code,hdg_code,toc_code,pilot_fy09_flag,inst_name_long,inst_city,inst_state,inst_zip,line,data1,status1,data2,status2
000166,000000,2001,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1100,36717,,,
000166,000000,2001,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1110,27415,,,
000166,000000,2001,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1125,8230,,,
000166,000000,2001,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1150,1055,,,
000166,000000,2001,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1160,17,,,
000166,000000,2001,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1400,36717,,27415,
000166,000000,2001,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1450,36717,,27415,
000166,000000,2001,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1453,36717,,27415,
000166,000000,2001,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1600,3136,,1923,
000166,000000,2001,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1610,3136,,1923,
000166,000000,2001,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1800,193,,193,
000166,000000,2001,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1850,193,,193,
000166,000000,2001,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1853,193,,193,
000166,000000,2001,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1900,592,,545,
000166,000000,2001,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1910,592,,545,
001002,000000,2001,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1100,11977,i,,
001002,000000,2001,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1110,8883,i,,
001002,000000,2001,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1125,432,i,,
001002,000000,2001,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1150,369,i,,
001002,000000,2001,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1160,2293,i,,
001002,000000,2001,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1175,0,i,,
001002,000000,2001,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1400,11977,i,8883,i
001002,000000,2001,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1410,1232,i,1067,i
