fice,fice_combined,year,hbcu_flag,has_med_sch_flag,hhe_flag,toi_code,hdg_code,toc_code,pilot_fy09_flag,inst_name_long,inst_city,inst_state,inst_zip,line,data1,status1,data2,status2,data3,status3,data4,status4,data5,status5,data6,status6,data7,status7,data8,status8,data9,status9
000166,000000,2007,F,T,F,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1100,52118,,,,,,,,,,,,,,,,,
000166,000000,2007,F,T,F,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1110,48580,,,,,,,,,,,,,,,,,
000166,000000,2007,F,T,F,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1125,922,,,,,,,,,,,,,,,,,
000166,000000,2007,F,T,F,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1150,206,,,,,,,,,,,,,,,,,
000166,000000,2007,F,T,F,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1160,2410,,,,,,,,,,,,,,,,,
000166,000000,2007,F,T,F,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1400,52118,,48580,,0,,547,,0,,47273,,0,,0,,760,
000166,000000,2007,F,T,F,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1450,52118,,48580,,0,,547,,0,,47273,,0,,0,,760,
000166,000000,2007,F,T,F,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1453,52118,,48580,,0,,547,,0,,47273,,0,,0,,760,
000166,000000,2007,F,T,F,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1600,1998,,1998,,,,,,,,,,,,,,,
000166,000000,2007,F,T,F,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1610,1516,,1516,,,,,,,,,,,,,,,
000166,000000,2007,F,T,F,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1620,482,,482,,,,,,,,,,,,,,,
000166,000000,2007,F,T,F,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1800,394,,301,,,,,,,,,,,,,,,
000166,000000,2007,F,T,F,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1850,394,,301,,,,,,,,,,,,,,,
000166,000000,2007,F,T,F,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1853,394,,301,,,,,,,,,,,,,,,
000166,000000,2007,F,T,F,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1900,2363,,2363,,,,,,,,,,,,,,,
000166,000000,2007,F,T,F,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1910,960,,960,,,,,,,,,,,,,,,
000166,000000,2007,F,T,F,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1920,1403,,1403,,,,,,,,,,,,,,,
001002,000000,2007,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1100,13672,,,,,,,,,,,,,,,,,
001002,000000,2007,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1110,8467,,,,,,,,,,,,,,,,,
001002,000000,2007,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1125,1785,,,,,,,,,,,,,,,,,
001002,000000,2007,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1150,38,,,,,,,,,,,,,,,,,
001002,000000,2007,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1160,2070,,,,,,,,,,,,,,,,,
001002,000000,2007,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1175,1312,,,,,,,,,,,,,,,,,
001002,000000,2007,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1400,13672,,8467,,4600,,603,,106,,314,,609,,1719,,516,
001002,000000,2007,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1410,782,,646,,0,,307,,0,,67,,170,,80,,22,
001002,000000,2007,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1414,264,,218,,0,,116,,0,,0,,98,,4,,0,
001002,000000,2007,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1415,158,,154,,0,,71,,0,,0,,7,,76,,0,
001002,000000,2007,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1416,360,,274,,0,,120,,0,,67,,65,,0,,22,
